Category,Subcategory,Budget Bargainers_Audience %,Budget Bargainers_Index,Go Getters_Audience %,Go Getters_Index
Media,Newspapers,45.2,102,38.1,95
Media,Magazines,32.5,87,41.2,110
Media,Free-to-air TV,68.4,112,55.3,98
Media,Subscription TV,28.9,85,47.6,125
Media,Radio,52.1,98,44.8,92
Social Media,Facebook,78.3,98,82.1,103
Social Media,Instagram,65.2,95,71.8,108
Social Media,LinkedIn,34.5,78,68.9,142
Social Media,Twitter,42.1,88,51.3,112
Social Media,TikTok,58.7,125,42.3,88
Online Activities,Online Shopping,72.4,105,78.9,112
Online Activities,Streaming Video,81.2,110,74.6,98
Online Activities,Online Gaming,45.8,115,32.1,82
Online Activities,Email,89.5,102,92.3,105
